               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  11,            0.037583,            0.023497,            0.016427,             0.87775,                 0.5,             0.55806,              0.4335,            0.024485,            0.011274,           0.0092224,            0.056847,            0.003847,            0.003847
                  12,              0.0399,            0.020417,             0.01487,             0.26678,                 0.5,             0.52644,             0.41493,            0.020925,           0.0099473,           0.0092834,             0.05309,           0.0040902,           0.0040902
                  13,            0.043639,            0.021123,            0.016897,             0.28837,             0.86004,             0.63741,             0.37344,            0.015209,           0.0088708,           0.0092224,             0.04932,           0.0043202,           0.0043202
                  14,            0.045521,            0.020246,            0.018505,             0.40445,                   1,             0.69625,             0.53166,            0.015062,           0.0073657,           0.0093323,            0.045537,           0.0045371,           0.0045371
                  15,            0.033864,            0.021163,            0.014942,             0.32596,             0.94828,             0.70106,             0.21968,            0.021467,           0.0070064,           0.0096375,            0.041741,           0.0047408,           0.0047408
                  16,            0.036289,            0.018267,            0.014478,             0.33294,               0.875,             0.59845,             0.48214,            0.016115,           0.0063984,            0.009491,            0.037931,           0.0049312,           0.0049312
                  17,            0.059842,            0.019659,            0.022138,             0.23753,               0.875,             0.53573,             0.41912,            0.017849,           0.0062377,           0.0090881,            0.034108,           0.0051084,           0.0051084
                  18,            0.035621,            0.018986,            0.013503,             0.23918,             0.99075,             0.49083,             0.35885,            0.021498,           0.0060205,           0.0087158,            0.030272,           0.0052725,           0.0052725
                  19,            0.036521,            0.016061,            0.012083,             0.32719,             0.96356,             0.60549,              0.4787,            0.017694,           0.0061827,           0.0084839,            0.026423,           0.0054234,           0.0054234
                  20,            0.045511,            0.018253,            0.018132,              0.2899,                   1,             0.68375,             0.52584,            0.014125,           0.0060103,           0.0082886,            0.022561,            0.005561,            0.005561
                  21,            0.030497,            0.017358,            0.012342,             0.23001,             0.92143,             0.43343,             0.33444,            0.024417,           0.0056863,           0.0078491,            0.018685,           0.0056854,           0.0056854
                  22,            0.040476,            0.014756,            0.012693,             0.55022,             0.73897,             0.73174,             0.55877,            0.014772,           0.0054536,           0.0073486,            0.014797,           0.0057967,           0.0057967
                  23,            0.037649,            0.013986,            0.011459,              0.2935,                0.75,              0.6075,             0.44916,            0.019402,           0.0051277,           0.0071289,            0.010895,           0.0058948,           0.0058948
                  24,            0.038435,            0.017284,            0.011918,             0.56147,             0.73282,             0.71167,             0.56628,            0.016655,           0.0050559,           0.0068237,           0.0069796,           0.0059796,           0.0059796
                  25,            0.031915,            0.017582,             0.01086,             0.80616,              0.8048,               0.945,             0.71965,            0.010617,           0.0052309,           0.0061523,            0.005875,            0.005875,            0.005875
                  26,             0.02982,            0.014962,            0.009876,             0.48751,                0.75,             0.77139,             0.63807,            0.018543,           0.0047762,           0.0057159,            0.005875,            0.005875,            0.005875
                  27,            0.031025,            0.015659,            0.010561,             0.86906,                0.75,             0.88875,             0.78294,           0.0097016,           0.0052642,           0.0054596,             0.00571,             0.00571,             0.00571
                  28,            0.031813,            0.014432,           0.0098266,             0.78959,             0.82433,             0.83667,             0.57933,             0.01438,           0.0051543,           0.0051727,            0.005545,            0.005545,            0.005545
                  29,            0.030737,            0.014348,           0.0084225,             0.82008,             0.86634,              0.9325,             0.71631,            0.014565,           0.0055363,           0.0048737,             0.00538,             0.00538,             0.00538
                  30,            0.032711,            0.015217,           0.0079596,             0.52872,             0.81285,             0.74581,             0.54232,            0.015203,            0.005469,           0.0052521,            0.005215,            0.005215,            0.005215
                  31,            0.031051,            0.014302,           0.0078551,             0.81608,              0.8022,             0.87556,             0.61067,            0.011546,           0.0053722,           0.0058197,             0.00505,             0.00505,             0.00505
                  32,            0.025226,            0.014551,           0.0065638,             0.76207,             0.81915,             0.75536,             0.49628,            0.011758,            0.005452,           0.0059692,            0.004885,            0.004885,            0.004885
                  33,            0.026237,            0.015192,           0.0058739,             0.84776,             0.83783,                0.92,             0.53244,           0.0094387,           0.0052489,           0.0052246,             0.00472,             0.00472,             0.00472
                  34,            0.027143,            0.015181,           0.0062901,             0.66308,             0.81706,             0.86167,             0.63578,              0.0107,            0.005408,           0.0044952,            0.004555,            0.004555,            0.004555
                  35,            0.024415,            0.013881,           0.0069344,             0.72763,             0.95137,             0.84976,             0.57853,             0.01096,           0.0051569,           0.0031647,             0.00439,             0.00439,             0.00439
                  36,             0.02594,            0.012813,           0.0058293,             0.83714,             0.86508,                0.92,             0.57094,           0.0097649,           0.0050647,           0.0032776,            0.004225,            0.004225,            0.004225
                  37,            0.024304,            0.014048,           0.0058561,              0.6989,             0.96438,             0.92208,             0.58566,            0.011359,           0.0049231,           0.0027008,             0.00406,             0.00406,             0.00406
                  38,            0.024921,             0.01333,           0.0072313,             0.89505,             0.95195,               0.995,             0.71529,           0.0079906,           0.0049134,           0.0024277,            0.003895,            0.003895,            0.003895
                  39,            0.028053,            0.014301,            0.005484,             0.80119,             0.90694,                0.92,             0.69845,           0.0086494,           0.0045962,           0.0023361,             0.00373,             0.00373,             0.00373
                  40,            0.024687,            0.014751,           0.0062953,             0.84538,             0.97495,               0.995,             0.78734,             0.01014,            0.004505,           0.0017273,            0.003565,            0.003565,            0.003565
                  41,            0.022966,            0.013746,            0.007039,             0.90439,             0.97624,               0.995,             0.67653,           0.0091322,            0.004701,           0.0017441,              0.0034,              0.0034,              0.0034
                  42,            0.022656,            0.013815,            0.006479,             0.88661,             0.96974,               0.995,             0.74995,           0.0086241,           0.0049438,           0.0016754,            0.003235,            0.003235,            0.003235
                  43,              0.0232,            0.013814,           0.0059357,              0.9217,                   1,               0.995,             0.69797,           0.0075162,           0.0048417,           0.0016571,             0.00307,             0.00307,             0.00307
                  44,            0.018639,              0.0121,           0.0052604,             0.93794,                   1,               0.995,             0.75722,           0.0075124,           0.0047194,           0.0015526,            0.002905,            0.002905,            0.002905
                  45,            0.020574,            0.014091,            0.005048,             0.93796,                   1,               0.995,             0.69523,            0.010647,           0.0046095,           0.0015099,             0.00274,             0.00274,             0.00274
                  46,            0.022215,            0.013228,           0.0054331,             0.88469,             0.98696,               0.995,             0.72148,           0.0067604,           0.0049086,           0.0016617,            0.002575,            0.002575,            0.002575
                  47,            0.018735,            0.014031,           0.0044335,             0.84658,             0.98137,               0.995,             0.68563,           0.0091048,           0.0049167,           0.0021912,             0.00241,             0.00241,             0.00241
                  48,            0.026325,            0.012364,            0.011284,             0.83801,             0.97245,               0.995,             0.73298,           0.0066849,           0.0049863,           0.0025284,            0.002245,            0.002245,            0.002245
                  49,            0.018097,            0.012878,            0.006649,             0.86334,               0.875,               0.945,             0.66694,           0.0086239,           0.0052617,           0.0027725,             0.00208,             0.00208,             0.00208
                  50,            0.023523,            0.014112,            0.011632,             0.83673,               0.875,             0.90333,             0.62775,            0.007725,           0.0054038,            0.003038,            0.001915,            0.001915,            0.001915
                  51,            0.017223,            0.014764,           0.0037364,             0.72948,             0.96597,                0.92,             0.61303,           0.0084515,           0.0052055,           0.0028854,             0.00175,             0.00175,             0.00175
                  52,            0.023037,            0.013281,            0.010384,             0.84312,               0.875,               0.945,             0.66832,           0.0075914,           0.0050656,            0.002301,            0.001585,            0.001585,            0.001585
                  53,            0.016195,            0.013784,           0.0029941,             0.72528,             0.93748,               0.945,             0.64859,           0.0084643,           0.0049638,           0.0021347,             0.00142,             0.00142,             0.00142
                  54,            0.017757,            0.013656,           0.0039175,             0.77796,                   1,                0.97,              0.6623,           0.0075179,           0.0048757,           0.0020035,            0.001255,            0.001255,            0.001255
                  55,              0.0155,            0.012469,           0.0044423,             0.83422,                   1,                0.97,              0.6457,           0.0079596,           0.0047945,           0.0020844,             0.00109,             0.00109,             0.00109
                  56,            0.021994,            0.012785,            0.011632,             0.79819,                   1,                0.97,             0.63592,           0.0077542,           0.0046828,           0.0020615,            0.000925,            0.000925,            0.000925
                  57,            0.016198,            0.014118,           0.0044726,             0.84802,                   1,                0.97,             0.65485,            0.007197,            0.004775,           0.0020905,             0.00076,             0.00076,             0.00076
                  58,              0.0153,            0.011658,            0.002929,             0.85053,                   1,                0.97,              0.6703,           0.0071757,             0.00488,           0.0020645,            0.000595,            0.000595,            0.000595
                  59,            0.013967,              0.0117,           0.0029841,             0.85539,                   1,                0.97,             0.68329,           0.0070299,           0.0050556,           0.0021805,             0.00043,             0.00043,             0.00043
