               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10346,            0.030062,            0.023912,           0.0012315,               0.375,            0.001329,          0.00071962,            0.039164,            0.022144,            0.011334,              0.0973,              0.0003,              0.0003
                   1,            0.082028,            0.028865,            0.019168,           0.0016252,                 0.5,            0.001882,          0.00098402,            0.037766,            0.020042,            0.011115,            0.093688,          0.00068845,          0.00068845
                   2,             0.07054,            0.032153,            0.018546,           0.0014826,                 0.5,           0.0043097,           0.0015727,            0.032758,            0.017876,            0.010577,            0.090064,           0.0010637,           0.0010637
                   3,            0.053244,            0.031349,            0.017884,           0.0034247,                   1,            0.026748,            0.013124,            0.016825,            0.017764,           0.0099182,            0.086426,           0.0014257,           0.0014257
                   4,             0.04954,             0.03089,            0.017693,           0.0034247,                   1,             0.10862,            0.058754,            0.014439,            0.016779,           0.0096008,            0.082775,           0.0017746,           0.0017746
                   5,            0.047991,            0.031967,            0.017272,              0.0034,                   1,             0.38212,             0.22961,            0.012781,            0.015596,           0.0091492,             0.07911,           0.0021103,           0.0021103
                   6,            0.057364,            0.031005,            0.019042,            0.083147,                   1,             0.51778,             0.32169,            0.012958,            0.014549,           0.0087463,            0.075433,           0.0024327,           0.0024327
                   7,            0.052609,             0.02914,             0.02146,             0.29343,                0.75,             0.51287,             0.32879,            0.012811,             0.01356,           0.0087769,            0.071742,            0.002742,            0.002742
                   8,            0.041742,            0.027097,            0.016484,              0.3858,             0.53093,             0.66347,             0.49995,             0.01418,            0.012591,           0.0087524,            0.068038,            0.003038,            0.003038
                   9,            0.036349,            0.028258,            0.015664,             0.19149,                 0.5,             0.37317,             0.23068,            0.013671,            0.012094,           0.0089294,            0.064321,           0.0033208,           0.0033208
                  10,            0.038008,            0.023674,            0.016089,             0.11616,               0.625,             0.26641,             0.20406,            0.023711,            0.011874,           0.0090881,             0.06059,           0.0035905,           0.0035905
